Date,ASX,Dow Jones,S&P 500,Nasdaq,ASX / Dow Jones,ASX / S&P 500,ASX / Nasdaq
26-Jan-00,1012.61,138.16,190.96,498.71,1012.61460268779+138.156992855936i,1012.61460268779+190.96106734426i,1012.61460268779+498.707864807344i
27-Jan-00,1023.13,137.41,190.69,499.63,1023.12923318399+137.411686047008i,1023.12923318399+190.68748390762i,1023.12923318399+499.631109607907i
28-Jan-00,1019.87,138.77,190.80,496.11,1019.87409306697+138.770684438948i,1019.87409306697+190.800695931465i,1019.87409306697+496.111835236894i
29-Jan-00,1023.59,140.00,192.05,498.12,1023.58984197208+140.001667217196i,1023.58984197208+192.047371860414i,1023.58984197208+498.124354803312i
30-Jan-00,1023.12,140.31,192.49,499.02,1023.11620567222+140.307999260283i,1023.11620567222+192.494655907127i,1023.11620567222+499.022817271047i
31-Jan-00,1026.15,140.64,193.29,495.92,1026.14502965537+140.640658005478i,1026.14502965537+193.292999350115i,1026.14502965537+495.917207223689i
01-Feb-00,1033.61,141.07,192.70,493.04,1033.60710946419+141.070110715165i,1033.60710946419+192.697872629471i,1033.60710946419+493.038609053129i
02-Feb-00,1041.04,142.94,193.22,490.25,1041.03948179587+142.937080428247i,1041.03948179587+193.224103645403i,1041.03948179587+490.252515432065i
03-Feb-00,1042.22,144.15,195.10,487.04,1042.21698456518+144.1542160027i,1042.21698456518+195.1048892395i,1042.21698456518+487.036467223556i
04-Feb-00,1035.76,145.88,195.15,484.85,1035.75716836344+145.876065263848i,1035.75716836344+195.145643796752i,1035.75716836344+484.852174696311i
05-Feb-00,1044.98,146.31,195.78,485.99,1044.97500182571+146.309437830022i,1044.97500182571+195.784630956977i,1044.97500182571+485.985344565563i
06-Feb-00,1049.64,145.86,196.23,486.51,1049.63848074482+145.858185522127i,1049.63848074482+196.23347580586i,1049.63848074482+486.513579133127i
07-Feb-00,1056.97,145.78,196.73,491.05,1056.97364307508+145.775332380804i,1056.97364307508+196.725495629409i,1056.97364307508+491.051125913043i
08-Feb-00,1049.96,146.17,196.45,493.05,1049.95796792722+146.167853885044i,1049.95796792722+196.447461979211i,1049.95796792722+493.052001198732i
09-Feb-00,1041.94,148.11,197.93,489.14,1041.93571263443+148.105613174371i,1041.93571263443+197.926011581825i,1041.93571263443+489.144252239172i
10-Feb-00,1032.89,150.09,197.47,492.74,1032.89331240615+150.090081336925i,1032.89331240615+197.47235467338i,1032.89331240615+492.736983361636i
11-Feb-00,1025.54,150.49,199.15,495.11,1025.53860767729+150.493233273559i,1025.53860767729+199.150025476019i,1025.53860767729+495.111277850027i
12-Feb-00,1036.40,150.45,200.86,491.88,1036.39654334852+150.445320222488i,1036.39654334852+200.856605597688i,1036.39654334852+491.884909909696i
13-Feb-00,1029.27,151.81,201.21,496.82,1029.26698247382+151.81185509368i,1029.26698247382+201.214249079119i,1029.26698247382+496.82387876235i
14-Feb-00,1034.41,151.52,202.57,494.83,1034.40531705579+151.518824355597i,1034.40531705579+202.567044414157i,1034.40531705579+494.834541125432i
15-Feb-00,1039.70,152.57,204.41,494.60,1039.69640821744+152.573934022254i,1039.69640821744+204.409195633322i,1039.69640821744+494.598174744833i
16-Feb-00,1034.41,151.66,205.93,491.72,1034.41336899106+151.655330240895i,1034.41336899106+205.925826612809i,1034.41336899106+491.715867932313i
17-Feb-00,1027.93,152.36,206.80,490.50,1027.93275719362+152.364791690944i,1027.93275719362+206.799754084612i,1027.93275719362+490.498520256666i
18-Feb-00,1038.03,151.87,204.85,489.23,1038.02922219372+151.867373751371i,1038.02922219372+204.845436708757i,1038.02922219372+489.229842121973i
19-Feb-00,1042.49,151.95,207.74,488.19,1042.49150512174+151.946531672238i,1042.49150512174+207.738731271848i,1042.49150512174+488.190699308368i
20-Feb-00,1051.85,151.25,209.95,490.19,1051.85190727239+151.253684281874i,1051.85190727239+209.954973002094i,1051.85190727239+490.190993915373i
21-Feb-00,1042.57,152.94,212.32,491.99,1042.57370658496+152.938306295506i,1042.57370658496+212.321122093276i,1042.57370658496+491.985087163436i
22-Feb-00,1032.67,152.36,212.02,489.95,1032.67152762013+152.358254442253i,1032.67152762013+212.021213506148i,1032.67152762013+489.952505961149i
23-Feb-00,1037.69,151.48,213.54,494.80,1037.69257823989+151.476154873754i,1037.69257823989+213.542739148129i,1037.69257823989+494.804565440356i
24-Feb-00,1046.29,151.85,213.12,497.97,1046.29203671658+151.846707372573i,1046.29203671658+213.120704308413i,1046.29203671658+497.967030638641i
25-Feb-00,1055.74,151.24,211.70,495.28,1055.74279443818+151.237034147308i,1055.74279443818+211.701846632244i,1055.74279443818+495.281854164823i
26-Feb-00,1054.71,152.70,213.66,494.54,1054.71063511315+152.695156769114i,1054.71063511315+213.664122359177i,1054.71063511315+494.544020261442i
27-Feb-00,1052.06,151.96,214.16,494.58,1052.05769872154+151.96105545852i,1052.05769872154+214.158008396625i,1052.05769872154+494.58024247011i
28-Feb-00,1043.17,151.87,213.26,491.66,1043.17032780455+151.874821971267i,1043.17032780455+213.260910797556i,1043.17032780455+491.656378102584i
29-Feb-00,1053.66,152.82,214.85,488.27,1053.66469665418+152.820629887289i,1053.66469665418+214.850007914206i,1053.66469665418+488.271371028293i
01-Mar-00,1060.57,152.91,213.28,488.72,1060.5729148761+152.907651709666i,1060.5729148761+213.275459569624i,1060.5729148761+488.717753935006i
02-Mar-00,1058.53,153.73,212.18,485.21,1058.52689914675+153.733590220111i,1058.52689914675+212.183788545414i,1058.52689914675+485.213928743192i
03-Mar-00,1057.48,154.31,212.10,489.88,1057.48428047352+154.312337265295i,1057.48428047352+212.104155386986i,1057.48428047352+489.877522997761i
04-Mar-00,1054.34,155.78,210.54,492.19,1054.33621960323+155.778336346174i,1054.33621960323+210.535539612879i,1054.33621960323+492.185856341548i
05-Mar-00,1056.52,155.03,212.80,489.71,1056.51824992793+155.028893197047i,1056.51824992793+212.798777936087i,1056.51824992793+489.710505662349i
06-Mar-00,1061.59,156.95,211.31,486.73,1061.58570576034+156.948581368027i,1061.58570576034+211.30795656716i,1061.58570576034+486.732834767939i
07-Mar-00,1066.14,158.68,212.17,491.39,1066.13895816737+158.680138089499i,1066.13895816737+212.168746157024i,1066.13895816737+491.393250899298i
08-Mar-00,1070.44,157.98,214.54,492.72,1070.43602114243+157.98442397194i,1070.43602114243+214.544748045357i,1070.43602114243+492.720609491058i
09-Mar-00,1077.23,158.27,217.26,497.01,1077.23230694413+158.273944390983i,1077.23230694413+217.257922122281i,1077.23230694413+497.009955505205i
10-Mar-00,1068.50,157.40,218.87,493.23,1068.49776890174+157.397149124799i,1068.49776890174+218.868758146634i,1068.49776890174+493.225087449465i
11-Mar-00,1071.20,156.76,221.70,492.93,1071.19638321935+156.763618779224i,1071.19638321935+221.699001763154i,1071.19638321935+492.926888299406i
12-Mar-00,1068.29,155.78,220.21,497.31,1068.28664523918+155.77759759525i,1068.28664523918+220.20509545554i,1068.28664523918+497.307894908155i
13-Mar-00,1063.08,156.31,218.29,498.25,1063.0774129287+156.311057362157i,1063.0774129287+218.288757548715i,1063.0774129287+498.246143131984i
14-Mar-00,1069.51,156.24,217.08,495.95,1069.51119832454+156.235415880756i,1069.51119832454+217.079055605417i,1069.51119832454+495.947607430247i
15-Mar-00,1061.59,157.71,219.99,495.90,1061.58810327471+157.705964896132i,1061.58810327471+219.99467423383i,1061.58810327471+495.900363516121i
16-Mar-00,1069.38,158.44,218.31,498.28,1069.38488337345+158.444996246585i,1069.38488337345+218.307226507335i,1069.38488337345+498.279157272196i
17-Mar-00,1072.68,160.36,216.50,500.60,1072.68264911612+160.356691514262i,1072.68264911612+216.503288103964i,1072.68264911612+500.599117978574i
18-Mar-00,1077.62,161.14,216.58,495.87,1077.61948048393+161.141523704468i,1077.61948048393+216.580211411152i,1077.61948048393+495.866477390191i
19-Mar-00,1074.80,162.26,217.85,495.03,1074.79743445083+162.260546956535i,1074.79743445083+217.847892901163i,1074.79743445083+495.033865414093i
20-Mar-00,1076.37,163.02,219.47,498.11,1076.36567649401+163.019398541026i,1076.36567649401+219.468246824176i,1076.36567649401+498.106902401261i
21-Mar-00,1081.51,164.16,222.16,495.92,1081.51418984938+164.158343443813i,1081.51418984938+222.161128646429i,1081.51418984938+495.92165491755i
22-Mar-00,1090.87,164.83,222.45,496.96,1090.87172469892+164.82936203557i,1090.87172469892+222.44569703937i,1090.87172469892+496.958939470804i
23-Mar-00,1088.59,166.38,221.01,500.17,1088.58876992053+166.375206677229i,1088.58876992053+221.014958560863i,1088.58876992053+500.174941382994i
24-Mar-00,1090.75,165.97,221.14,495.86,1090.74997222194+165.969617356195i,1090.74997222194+221.141227890221i,1090.74997222194+495.858844202498i
25-Mar-00,1086.82,165.74,222.29,500.60,1086.82056214502+165.739847329041i,1086.82056214502+222.293984470488i,1086.82056214502+500.60056692496i
26-Mar-00,1086.30,165.51,223.80,501.69,1086.2980256593+165.507278359345i,1086.2980256593+223.798387934073i,1086.2980256593+501.694431118316i
27-Mar-00,1093.24,164.61,224.01,505.18,1093.2374176239+164.60818809735i,1093.2374176239+224.013789112759i,1093.2374176239+505.183000850483i
28-Mar-00,1096.59,166.36,225.12,506.67,1096.58682782363+166.363517668681i,1096.58682782363+225.115626270798i,1096.58682782363+506.671589715198i
29-Mar-00,1100.56,165.56,225.81,508.41,1100.56178800241+165.557735817201i,1100.56178800241+225.805064532273i,1100.56178800241+508.41354315439i
30-Mar-00,1095.27,165.89,228.08,506.85,1095.27044414497+165.894728023687i,1095.27044414497+228.076918143521i,1095.27044414497+506.845095856107i
31-Mar-00,1090.38,164.99,228.90,502.85,1090.38214936764+164.99263883009i,1090.38214936764+228.897475721385i,1090.38214936764+502.853354402147i
01-Apr-00,1090.55,165.44,228.75,505.87,1090.55347471337+165.439179612509i,1090.55347471337+228.75012143122i,1090.55347471337+505.868092470471i
02-Apr-00,1100.77,165.67,228.27,505.24,1100.76500505353+165.67282422725i,1100.76500505353+228.265659393283i,1100.76500505353+505.242878485961i
03-Apr-00,1098.45,166.80,229.28,506.28,1098.45002350351+166.799641961767i,1098.45002350351+229.278912491887i,1098.45002350351+506.284131100135i
04-Apr-00,1090.73,167.69,229.84,504.68,1090.72835050154+167.69409558999i,1090.72835050154+229.84057301194i,1090.72835050154+504.68117668329i
05-Apr-00,1084.58,169.57,229.41,504.07,1084.5754518539+169.571649133216i,1084.5754518539+229.408264565002i,1084.5754518539+504.066738068415i
06-Apr-00,1093.86,171.19,227.89,508.46,1093.86106561382+171.187407741162i,1093.86106561382+227.89223256685i,1093.86106561382+508.460165999928i
07-Apr-00,1097.14,172.89,229.77,506.46,1097.13679078797+172.894354474787i,1097.13679078797+229.770549326269i,1097.13679078797+506.456125087738i
08-Apr-00,1098.45,172.55,230.35,503.78,1098.45235356039+172.554774445415i,1098.45235356039+230.349771125859i,1098.45235356039+503.780661094487i
09-Apr-00,1101.36,173.47,228.36,499.06,1101.35678369349+173.467496254393i,1101.35678369349+228.359015276079i,1101.35678369349+499.060421691651i
10-Apr-00,1092.03,173.13,227.39,495.80,1092.03465234443+173.13056538357i,1092.03465234443+227.388436038996i,1092.03465234443+495.797154664006i
11-Apr-00,1091.91,175.12,228.64,497.88,1091.90821799215+175.124887824533i,1091.90821799215+228.635499806342i,1091.90821799215+497.883879415391i
12-Apr-00,1095.99,175.83,228.37,495.77,1095.99444271307+175.826735438356i,1095.99444271307+228.372364061055i,1095.99444271307+495.768466578308i
13-Apr-00,1103.17,176.14,230.55,494.57,1103.16803843796+176.141375361108i,1103.16803843796+230.548114416969i,1103.16803843796+494.569020045275i
14-Apr-00,1103.21,175.92,229.27,496.52,1103.21426377899+175.921964188735i,1103.21426377899+229.266806963943i,1103.21426377899+496.516573835589i
15-Apr-00,1102.46,176.18,231.64,500.90,1102.46495748382+176.182625059207i,1102.46495748382+231.644058967974i,1102.46495748382+500.900081169812i
16-Apr-00,1098.02,176.52,231.32,505.40,1098.01939767933+176.515952867633i,1098.01939767933+231.321502698359i,1098.01939767933+505.395459642136i
17-Apr-00,1093.90,176.63,230.92,508.64,1093.90198421204+176.62654050743i,1093.90198421204+230.922127636006i,1093.90198421204+508.636164572855i
18-Apr-00,1091.28,176.39,230.66,504.15,1091.27948905051+176.386116970107i,1091.27948905051+230.659502815742i,1091.27948905051+504.147794755391i
19-Apr-00,1098.58,176.76,230.96,508.70,1098.57763859923+176.76470484283i,1098.57763859923+230.963428524556i,1098.57763859923+508.703142885305i
20-Apr-00,1090.29,176.22,231.43,513.32,1090.28952544586+176.215991561686i,1090.28952544586+231.426669236738i,1090.28952544586+513.315068814335i
21-Apr-00,1082.99,178.12,230.53,512.98,1082.98672043335+178.122702669402i,1082.98672043335+230.531468239786i,1082.98672043335+512.983075764144i
22-Apr-00,1081.64,179.83,232.80,517.95,1081.6397274988+179.828911529495i,1081.6397274988+232.80215875347i,1081.6397274988+517.947847584396i
23-Apr-00,1084.11,181.82,230.89,523.50,1084.1057057584+181.818656546971i,1084.1057057584+230.894039562136i,1084.1057057584+523.503753355212i
24-Apr-00,1081.46,182.90,229.08,526.65,1081.45805231836+182.898244914476i,1081.45805231836+229.079417350586i,1081.45805231836+526.653817760547i
25-Apr-00,1088.43,183.04,229.02,531.51,1088.42700202752+183.040194759994i,1088.42700202752+229.018165400096i,1088.42700202752+531.50602390648i
26-Apr-00,1090.05,182.32,229.20,534.24,1090.04809887469+182.317899072372i,1090.04809887469+229.203664496811i,1090.04809887469+534.236654648653i
27-Apr-00,1090.99,183.30,229.59,537.77,1090.98906817203+183.298156371118i,1090.98906817203+229.592519141672i,1090.98906817203+537.774400746356i
28-Apr-00,1097.63,182.37,230.70,538.00,1097.62555787286+182.371178272696i,1097.62555787286+230.700818060048i,1097.62555787286+537.995605686519i
29-Apr-00,1103.51,183.86,231.30,539.97,1103.51380479021+183.863166974729i,1103.51380479021+231.302852809913i,1103.51380479021+539.965007142668i
30-Apr-00,1104.92,183.40,230.89,536.37,1104.92145897044+183.400945308353i,1104.92145897044+230.888552568491i,1104.92145897044+536.365043807224i
01-May-00,1108.64,184.06,231.41,536.09,1108.63774358855+184.055201223355i,1108.63774358855+231.413588444857i,1108.63774358855+536.092166688491i
02-May-00,1104.22,184.96,230.90,535.35,1104.2196334753+184.960124247656i,1104.2196334753+230.899240603827i,1104.2196334753+535.352274836328i
03-May-00,1095.71,185.17,230.07,539.39,1095.70871194546+185.168638364055i,1095.70871194546+230.068222089054i,1095.70871194546+539.387078975466i
04-May-00,1104.40,184.88,231.96,543.97,1104.39809280656+184.881050442185i,1104.39809280656+231.96479728231i,1104.39809280656+543.965054040478i
05-May-00,1101.87,184.31,232.28,549.58,1101.87489083093+184.311533488865i,1101.87489083093+232.284608002882i,1101.87489083093+549.575733555782i
06-May-00,1090.97,184.51,233.03,553.75,1090.96932521504+184.506700878999i,1090.96932521504+233.031284838445i,1090.96932521504+553.754839327087i
07-May-00,1084.82,183.87,235.00,553.83,1084.82111778351+183.868481253342i,1084.82111778351+234.998481385247i,1084.82111778351+553.834470553438i
08-May-00,1084.41,185.03,234.31,550.09,1084.4138294027+185.034296398394i,1084.4138294027+234.314721755642i,1084.4138294027+550.094357370087i
09-May-00,1078.70,184.97,235.43,548.55,1078.69608295706+184.967331555497i,1078.69608295706+235.427233531226i,1078.69608295706+548.551143575804i
10-May-00,1078.22,184.57,237.81,548.81,1078.22354201865+184.567836804346i,1078.22354201865+237.814572149882i,1078.22354201865+548.814846289697i
11-May-00,1076.47,184.18,237.99,552.49,1076.46512085129+184.176669978225i,1076.46512085129+237.993573856986i,1076.46512085129+552.491290608255i
12-May-00,1067.71,185.23,238.27,554.93,1067.71390111317+185.227614224842i,1067.71390111317+238.266527440236i,1067.71390111317+554.926838770583i
13-May-00,1057.82,185.12,240.99,553.59,1057.81642818468+185.116160689992i,1057.81642818468+240.993515128076i,1057.81642818468+553.587006929742i
14-May-00,1067.69,184.37,243.63,549.91,1067.69103541419+184.371319395463i,1067.69103541419+243.633606799424i,1067.69103541419+549.911872156232i
15-May-00,1058.96,186.26,244.79,546.13,1058.95551873551+186.257412640229i,1058.95551873551+244.79464297339i,1058.95551873551+546.131921806312i
16-May-00,1051.59,187.51,246.81,541.25,1051.58890590072+187.510288207015i,1051.58890590072+246.809114136367i,1051.58890590072+541.24780109939i
17-May-00,1046.90,188.56,249.48,545.64,1046.89518567983+188.557230239202i,1046.89518567983+249.484180982111i,1046.89518567983+545.639975730825i
18-May-00,1055.68,188.51,249.37,545.75,1055.67992844339+188.506635413527i,1055.67992844339+249.367613223699i,1055.67992844339+545.75396763281i
19-May-00,1065.16,189.59,249.74,544.22,1065.15823779775+189.590503172428i,1065.15823779775+249.738678269864i,1065.15823779775+544.219145773716i
20-May-00,1058.04,189.19,249.34,549.62,1058.04382851393+189.188170243107i,1058.04382851393+249.342234195354i,1058.04382851393+549.621954340375i
21-May-00,1068.24,189.21,247.35,547.22,1068.23521695663+189.206821569547i,1068.23521695663+247.349691673396i,1068.23521695663+547.219091460901i
22-May-00,1070.25,190.79,250.02,542.50,1070.24838202844+190.791830115778i,1070.24838202844+250.024572376937i,1070.24838202844+542.500063629804i
23-May-00,1065.70,190.02,248.41,545.92,1065.70263622732+190.023572952515i,1065.70263622732+248.412158286677i,1065.70263622732+545.919343620724i
24-May-00,1066.42,189.11,248.27,541.70,1066.41974289939+189.106414337225i,1066.41974289939+248.271904661552i,1066.41974289939+541.703220018502i
25-May-00,1059.03,189.13,249.43,544.53,1059.0261790841+189.134052013902i,1059.0261790841+249.425363676471i,1059.0261790841+544.530845892772i
26-May-00,1068.48,189.98,251.14,548.94,1068.48480510912+189.982164328345i,1068.48480510912+251.13917398439i,1068.48480510912+548.9433452578i
27-May-00,1075.60,191.87,249.76,550.85,1075.59582366058+191.874663527575i,1075.59582366058+249.758900757135i,1075.59582366058+550.85266171926i
28-May-00,1070.48,193.15,249.73,554.92,1070.48309669274+193.146812917684i,1070.48309669274+249.729317080107i,1070.48309669274+554.9181307369i
29-May-00,1077.91,192.37,250.00,553.90,1077.90830791224+192.365076754482i,1077.90830791224+249.996314130229i,1077.90830791224+553.901178227731i
30-May-00,1085.80,191.91,252.02,555.25,1085.80007447611+191.908415008821i,1085.80007447611+252.02404862748i,1085.80007447611+555.251748878666i
31-May-00,1082.35,193.60,251.59,553.97,1082.34888260484+193.601442836762i,1082.34888260484+251.585752452105i,1082.34888260484+553.970858136658i
01-Jun-00,1084.33,192.84,254.50,556.40,1084.32829396673+192.841778475448i,1084.32829396673+254.503024843727i,1084.32829396673+556.398978221794i
02-Jun-00,1078.94,193.97,253.73,557.58,1078.94435171547+193.967990958506i,1078.94435171547+253.728847348016i,1078.94435171547+557.577013122873i
03-Jun-00,1069.82,194.04,255.18,554.98,1069.82054335557+194.042741896261i,1069.82054335557+255.17983529218i,1069.82054335557+554.980329699114i
04-Jun-00,1062.05,195.94,253.86,553.90,1062.0476134437+195.941461299579i,1062.0476134437+253.858153083821i,1062.0476134437+553.903004850291i
05-Jun-00,1069.50,197.92,255.19,556.38,1069.49964901681+197.924204605918i,1069.49964901681+255.191907613328i,1069.49964901681+556.378202555426i
06-Jun-00,1068.19,198.67,257.56,560.80,1068.19204981651+198.672600642788i,1068.19204981651+257.56128646047i,1068.19204981651+560.804592014325i
07-Jun-00,1078.62,198.29,260.22,563.91,1078.62156645384+198.286438539053i,1078.62156645384+260.221804165087i,1078.62156645384+563.908048766112i
08-Jun-00,1083.91,197.66,261.39,567.00,1083.91131403562+197.659920395279i,1083.91131403562+261.389981329157i,1083.91131403562+567.00294581762i
09-Jun-00,1085.96,199.40,263.43,564.82,1085.96364345219+199.40293014907i,1085.96364345219+263.430705697989i,1085.96364345219+564.817993681802i
10-Jun-00,1079.61,201.13,261.80,561.53,1079.6105189444+201.133384447323i,1079.6105189444+261.797918783194i,1079.6105189444+561.527506284172i
11-Jun-00,1087.51,199.42,262.26,559.31,1087.51137744796+199.420863586669i,1087.51137744796+262.259550203696i,1087.51137744796+559.309616207454i
12-Jun-00,1085.42,198.58,260.79,558.10,1085.42077898284+198.584172114141i,1085.42077898284+260.790709446586i,1085.42077898284+558.09535412248i
13-Jun-00,1081.80,198.23,261.57,561.80,1081.80132968971+198.225756981744i,1081.80132968971+261.574783731621i,1081.80132968971+561.796463029678i
14-Jun-00,1086.19,199.19,263.10,563.40,1086.19477652019+199.186477010626i,1086.19477652019+263.102409109341i,1086.19477652019+563.39523141696i
15-Jun-00,1081.44,198.19,262.55,564.41,1081.44063387601+198.191757088958i,1081.44063387601+262.548976070096i,1081.44063387601+564.407929311515i
16-Jun-00,1073.72,197.27,262.27,559.85,1073.720990675+197.27079213722i,1073.720990675+262.274640379146i,1073.720990675+559.851488599337i
17-Jun-00,1074.22,199.14,261.15,559.48,1074.22353504089+199.139323839441i,1074.22353504089+261.14597728347i,1074.22353504089+559.480889095833i
18-Jun-00,1064.32,199.88,263.38,561.00,1064.32429804305+199.880780524258i,1064.32429804305+263.384254420879i,1064.32429804305+561.002192528187i
19-Jun-00,1072.70,201.64,266.17,561.05,1072.70165326068+201.637198171742i,1072.70165326068+266.16697909532i,1072.70165326068+561.047956163913i
20-Jun-00,1072.42,204.26,266.32,560.91,1072.42344758191+204.257156383503i,1072.42344758191+266.316730633176i,1072.42344758191+560.910021131207i
21-Jun-00,1068.59,204.64,264.84,561.66,1068.58834171601+204.637132024918i,1068.58834171601+264.842473955807i,1068.58834171601+561.657172019577i
22-Jun-00,1061.91,203.76,264.98,563.37,1061.90841958154+203.764066099589i,1061.90841958154+264.984582073324i,1061.90841958154+563.37010541947i
23-Jun-00,1068.07,206.46,263.85,559.80,1068.07456770335+206.455782184596i,1068.07456770335+263.84650212401i,1068.07456770335+559.796131877596i
24-Jun-00,1066.02,205.22,261.98,556.00,1066.01560911831+205.215769212507i,1066.01560911831+261.978738249618i,1066.01560911831+555.996339624016i
25-Jun-00,1076.81,204.90,263.76,558.23,1076.81109162193+204.896451467686i,1076.81109162193+263.758750687883i,1076.81109162193+558.228294440448i
26-Jun-00,1073.35,207.66,266.26,555.61,1073.34998836946+207.663504305639i,1073.34998836946+266.26152840809i,1073.34998836946+555.608034834903i
27-Jun-00,1067.57,207.09,267.61,555.39,1067.56513528646+207.088728018743i,1067.56513528646+267.607834242366i,1067.56513528646+555.392864049591i
28-Jun-00,1060.15,205.48,265.82,560.71,1060.15242285237+205.478349141537i,1060.15242285237+265.819303683171i,1060.15242285237+560.706514088077i
29-Jun-00,1052.67,207.52,264.69,556.80,1052.66590052187+207.520887309519i,1052.66590052187+264.688719957024i,1052.66590052187+556.798390079797i
30-Jun-00,1047.90,205.76,266.61,557.41,1047.90009688608+205.764516116371i,1047.90009688608+266.605875032363i,1047.90009688608+557.410940883366i
01-Jul-00,1046.05,205.17,267.76,556.30,1046.0499687051+205.173190071471i,1046.0499687051+267.76138759872i,1046.0499687051+556.303226192469i
02-Jul-00,1047.95,203.33,270.64,553.39,1047.94965273016+203.329633116929i,1047.94965273016+270.641022209045i,1047.94965273016+553.392061949277i
03-Jul-00,1051.34,203.31,271.71,558.97,1051.33515165382+203.305005159006i,1051.33515165382+271.712802643942i,1051.33515165382+558.970612278695i
04-Jul-00,1051.35,201.45,273.94,561.95,1051.34561230628+201.447938163772i,1051.34561230628+273.936283379312i,1051.34561230628+561.950633439067i
05-Jul-00,1060.99,204.30,272.60,560.62,1060.99117447753+204.298032876412i,1060.99117447753+272.599111861339i,1060.99117447753+560.616400279847i
06-Jul-00,1055.01,204.19,275.09,557.92,1055.01226397976+204.187013958004i,1055.01226397976+275.088173123316i,1055.01226397976+557.917912184484i
07-Jul-00,1057.93,204.90,275.30,557.30,1057.92910717066+204.899423938473i,1057.92910717066+275.299335259155i,1057.92910717066+557.301318731807i
08-Jul-00,1064.80,206.82,278.28,562.71,1064.79609849632+206.815280766467i,1064.79609849632+278.284210806322i,1064.79609849632+562.71317769402i
09-Jul-00,1075.04,206.06,277.66,563.58,1075.0371115646+206.060135393014i,1075.0371115646+277.660455180733i,1075.0371115646+563.575901007015i
